Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Daily return,Percentage Return,7 Day Moving Average
AAPL,2023-04-19,165.8000031,168.1600037,165.5399933,167.6300049,167.6300049,47720200,1.830001831,1.103740529,#DIV/0!
AAPL,2023-04-20,166.0899963,167.8699951,165.5599976,166.6499939,166.6499939,52456400,0.559997559,0.337165134,#DIV/0!
AAPL,2023-04-21,165.0500031,166.4499969,164.4900055,165.0200043,165.0200043,58337300,-0.029998779,-0.01817557,#DIV/0!
AAPL,2023-04-24,165,165.6000061,163.8899994,165.3300018,165.3300018,41949600,0.330001831,0.20000111,#DIV/0!
AAPL,2023-04-25,165.1900024,166.3099976,163.7299957,163.7700043,163.7700043,48714100,-1.419998169,-0.859615078,#DIV/0!
AAPL,2023-04-26,163.0599976,165.2799988,162.8000031,163.7599945,163.7599945,45498800,0.699996948,0.429287967,#DIV/0!
AAPL,2023-04-27,165.1900024,168.5599976,165.1900024,168.4100037,168.4100037,64902300,3.220001221,1.949271247,#DIV/0!
AAPL,2023-04-28,168.4900055,169.8500061,167.8800049,169.6799927,169.6799927,55209200,1.189987183,0.706265739,#DIV/0!
AAPL,2023-05-01,169.2799988,170.4499969,168.6399994,169.5899963,169.5899963,52472900,0.309997559,0.183127104,#DIV/0!
AAPL,2023-05-02,170.0899963,170.3500061,167.5399933,168.5399933,168.5399933,48425700,-1.550003052,-0.911284076,#DIV/0!
AAPL,2023-05-03,169.5,170.9199982,167.1600037,167.4499969,167.4499969,65136000,-2.050003052,-1.209441328,#DIV/0!
AAPL,2023-05-04,164.8899994,167.0399933,164.3099976,165.7899933,165.7899933,81235400,0.899993896,0.545814725,#DIV/0!
AAPL,2023-05-05,170.9799957,174.3000031,170.7599945,173.5700073,173.5700073,113316400,2.590011597,1.514803873,#DIV/0!
MSFT,2023-02-07,260.5299988,268.769989,260.0799866,267.5599976,266.89151,50841400,7.029998779,2.698345224,#DIV/0!
MSFT,2023-02-08,273.2000122,276.7600098,266.2099915,266.730011,266.0635986,54686000,-6.470001221,-2.368228745,#DIV/0!
MSFT,2023-02-09,273.7999878,273.980011,262.7999878,263.6199951,262.9613647,42375100,-10.17999268,-3.718039857,#DIV/0!
MSFT,2023-02-10,261.5299988,264.0899963,260.6600037,263.1000061,262.4426575,25818500,1.570007324,0.600316343,#DIV/0!
MSFT,2023-02-13,267.6400146,274.6000061,267.1499939,271.3200073,270.6421204,44630900,3.679992676,1.374978506,#DIV/0!
MSFT,2023-02-14,272.6700134,274.9700012,269.2799988,272.1700134,271.4900208,37047900,-0.5,-0.183371832,#DIV/0!
MSFT,2023-02-15,268.3200073,270.730011,266.1799927,269.3200073,269.3200073,28922400,1,0.372689316,#DIV/0!
MSFT,2023-02-16,264.019989,266.7399902,261.8999939,262.1499939,262.1499939,29603600,-1.869995117,-0.708277856,#DIV/0!
MSFT,2023-02-17,259.3900146,260.0899963,256,258.0599976,258.0599976,30000100,-1.33001709,-0.512747991,#DIV/0!
MSFT,2023-02-21,254.4799957,255.4900055,251.5899963,252.6699982,252.6699982,28397400,-1.809997559,-0.711253375,#DIV/0!
MSFT,2023-02-22,254.0899963,254.3399963,250.3399963,251.5099945,251.5099945,22491100,-2.580001831,-1.015388984,#DIV/0!
MSFT,2023-02-23,255.5599976,256.8399963,250.4799957,254.7700043,254.7700043,29219100,-0.789993286,-0.309122435,#DIV/0!
MSFT,2023-02-24,249.9600067,251,248.1000061,249.2200012,249.2200012,24990900,-0.740005493,-0.296049557,#DIV/0!
MSFT,2023-02-27,252.4600067,252.8200073,249.3899994,250.1600037,250.1600037,21190000,-2.300003052,-0.911036596,#DIV/0!
MSFT,2023-02-28,249.0700073,251.4900055,248.7299957,249.4199982,249.4199982,22491000,0.349990845,0.140519065,#DIV/0!
MSFT,2023-03-01,250.7599945,250.9299927,245.7899933,246.2700043,246.2700043,27565300,-4.489990234,-1.790552852,#DIV/0!
MSFT,2023-03-02,246.5500031,251.3999939,245.6100006,251.1100006,251.1100006,24808200,4.559997559,1.84952241,#DIV/0!
